AGENTES_CAUSADORES;QUANTIDADE;ANO;ESTADO
Agente biologico;4;2012;MATO GROSSO
Agente quimico;2;2012;MATO GROSSO
Embalagens e tanques;1;2012;MATO GROSSO
Ferramentas manuais;2;2012;MATO GROSSO
Mobiliarios e assessorios;3;2012;MATO GROSSO
Motocicleta;8;2012;MATO GROSSO
Maquinas e equipamentos;11;2012;MATO GROSSO
Queda de altura;1;2012;MATO GROSSO
Veiculos de transporte;9;2012;MATO GROSSO
Agente biologico;5;2013;MATO GROSSO
Ferramentas manuais;3;2013;MATO GROSSO
Mobiliarios e assessorios;2;2013;MATO GROSSO
Motocicleta;7;2013;MATO GROSSO
Maquinas e equipamentos;1;2013;MATO GROSSO
Queda de altura;5;2013;MATO GROSSO
Queda do mesmo nivel;5;2013;MATO GROSSO
Veiculos de transporte;10;2013;MATO GROSSO
Agente biologico;3;2014;MATO GROSSO
Agente quimico;9;2014;MATO GROSSO
Embalagens e tanques;2;2014;MATO GROSSO
Ferramentas manuais;8;2014;MATO GROSSO
Incendio;1;2014;MATO GROSSO
Mobiliarios e assessorios;12;2014;MATO GROSSO
Motocicleta;9;2014;MATO GROSSO
Maquinas e equipamentos;15;2014;MATO GROSSO
Queda de altura;9;2014;MATO GROSSO
Queda do mesmo nivel;11;2014;MATO GROSSO
Veiculos de transporte;20;2014;MATO GROSSO
Agente biologico;4;2015;MATO GROSSO
Agente quimico;7;2015;MATO GROSSO
Embalagens e tanques;2;2015;MATO GROSSO
Ferramentas manuais;10;2015;MATO GROSSO
Impacto contra pessoa/objeto;1;2015;MATO GROSSO
Mobiliarios e assessorios;6;2015;MATO GROSSO
Motocicleta;6;2015;MATO GROSSO
Maquinas e equipamentos;7;2015;MATO GROSSO
Queda de altura;4;2015;MATO GROSSO
Queda do mesmo nivel;14;2015;MATO GROSSO
Veiculos de transporte;11;2015;MATO GROSSO
Agente biologico;2;2016;MATO GROSSO
Agente quimico;4;2016;MATO GROSSO
Embalagens e tanques;1;2016;MATO GROSSO
Ferramentas manuais;1;2016;MATO GROSSO
Incendio;1;2016;MATO GROSSO
Mobiliarios e assessorios;6;2016;MATO GROSSO
Motocicleta;3;2016;MATO GROSSO
Maquinas e equipamentos;10;2016;MATO GROSSO
Queda de altura;5;2016;MATO GROSSO
Queda do mesmo nivel;3;2016;MATO GROSSO
Veiculos de transporte;8;2016;MATO GROSSO
Agente biologico;3;2017;MATO GROSSO
Agente quimico;3;2017;MATO GROSSO
Embalagens e tanques;1;2017;MATO GROSSO
Ferramentas manuais;4;2017;MATO GROSSO
Mobiliarios e assessorios;5;2017;MATO GROSSO
Motocicleta;3;2017;MATO GROSSO
Maquinas e equipamentos;6;2017;MATO GROSSO
Outros;2;2017;MATO GROSSO
Queda de altura;7;2017;MATO GROSSO
Queda do mesmo nivel;8;2017;MATO GROSSO
Veiculos de transporte;8;2017;MATO GROSSO
Agente biologico;8;2018;MATO GROSSO
Agente quimico;4;2018;MATO GROSSO
Choque eletrico;1;2018;MATO GROSSO
Embalagens e tanques;2;2018;MATO GROSSO
Ferramentas manuais;6;2018;MATO GROSSO
Mobiliarios e assessorios;5;2018;MATO GROSSO
Motocicleta;4;2018;MATO GROSSO
Maquinas e equipamentos;12;2018;MATO GROSSO
Queda de altura;2;2018;MATO GROSSO
Queda do mesmo nivel;16;2018;MATO GROSSO
Veiculos de transporte;26;2018;MATO GROSSO
Agente biologico;3;2019;MATO GROSSO
Agente quimico;4;2019;MATO GROSSO
Esforco fisico;1;2019;MATO GROSSO
Ferramentas manuais;5;2019;MATO GROSSO
Impacto contra pessoa/objeto;2;2019;MATO GROSSO
